#Top: chaos_fifo   Floorplan: rtl_1   Part: xcvu9p-flga2104-2L-e
#Generated by: RISHIK NAIR   on: Sun Nov 30 18:39:38 2025
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: PRODUCTION 1.1 3/7/2017
#Package Pin Delay Version: PRODUCTION 1.0 2/19/2016

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 33 unassigned signals in this design. The last 33 rows of this file list these signals.
################################################################################

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
0,AB11,,RSVDGND,71.101,71.816,,,,,,,,,,,,,,,,,,,,
0,AB12,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,,
0,AC12,,INIT_B_0,68.114,68.799,,,,,,,,,,,,,,,,,,,,
0,AC17,,VREFN,70.196,70.902,,,,,,,,,,,,,,,,,,,,
0,AD12,,PUDC_B_0,57.312,57.888,,,,,,,,,,,,,,,,,,,,
0,AD13,,TDO_0,127.665,128.949,,,,,,,,,,,,,,,,,,,,
0,AD15,,TDI_0,37.050,37.422,,,,,,,,,,,,,,,,,,,,
0,AD18,,VREFP,70.566,71.276,,,,,,,,,,,,,,,,,,,,
0,AE12,,DONE_0,61.569,62.188,,,,,,,,,,,,,,,,,,,,
0,AE13,,TCK_0,46.272,46.737,,,,,,,,,,,,,,,,,,,,
0,AE17,,DXN,57.142,57.716,,,,,,,,,,,,,,,,,,,,
0,AE18,,DXP,62.319,62.946,,,,,,,,,,,,,,,,,,,,
0,AF13,,CCLK_0,55.610,56.169,,,,,,,,,,,,,,,,,,,,
0,AF15,,TMS_0,43.545,43.983,,,,,,,,,,,,,,,,,,,,
0,AG12,,POR_OVERRIDE,81.037,81.851,,,,,,,,,,,,,,,,,,,,
0,AH11,,PROGRAM_B_0,90.211,91.118,,,,,,,,,,,,,,,,,,,,
0,AH12,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,,
0,AJ11,,RDWR_FCS_B_0,101.110,102.126,,,,,,,,,,,,,,,,,,,,
0,AL11,,D03_0,117.501,118.681,,,,,,,,,,,,,,,,,,,,
0,AM11,,D02_0,124.226,125.474,,,,,,,,,,,,,,,,,,,,
0,AN11,,D01_DIN_0,128.024,129.310,,,,,,,,,,,,,,,,,,,,
0,AP11,,D00_MOSI_0,133.972,135.318,,,,,,,,,,,,,,,,,,,,
0,AT11,,VBATT,,,,,,,,,,,,,,,,,,,,,,
0,U10,,M0_0,108.321,109.409,,,,,,,,,,,,,,,,,,,,
0,W11,,M2_0,92.349,93.277,,,,,,,,,,,,,,,,,,,,
0,Y11,,M1_0,92.028,92.953,,,,,,,,,,,,,,,,,,,,
40,BC30,IOB_X0Y64,IO_T0U_N12_VRP_40,87.974,88.858,,,,,,,,,,,,,,,,,,,,
40,AY30,IOB_X0Y77,IO_T1U_N12_40,68.653,69.343,,,,,,,,,,,,,,,,,,,,
40,AV34,IOB_X0Y90,IO_T2U_N12_40,93.550,94.490,,,,,,,,,,,,,,,,,,,,
40,AR29,IOB_X0Y103,IO_T3U_N12_40,59.139,59.733,,,,,,,,,,,,,,,,,,,,
40,BF32,IOB_X0Y53,IO_L1N_T0L_N1_DBC_40,108.691,109.783,,,,,,,,,,,,,,,,,,,,
40,BE32,IOB_X0Y52,IO_L1P_T0L_N0_DBC_40,109.132,110.229,,,,,,,,,,,,,,,,,,,,
40,BE30,IOB_X0Y55,IO_L2N_T0L_N3_40,96.231,97.198,,,,,,,,,,,,,,,,,,,,
40,BD30,IOB_X0Y54,IO_L2P_T0L_N2_40,88.955,89.849,,,,,,,,,,,,,,,,,,,,
40,BE33,IOB_X0Y57,IO_L3N_T0L_N5_AD15N_40,112.499,113.630,,,,,,,,,,,,,,,,,,,,
40,BD32,IOB_X0Y56,IO_L3P_T0L_N4_AD15P_40,111.592,112.713,,,,,,,,,,,,,,,,,,,,
40,BF31,IOB_X0Y59,IO_L4N_T0U_N7_DBC_AD7N_40,107.949,109.034,,,,,,,,,,,,,,,,,,,,
40,BF30,IOB_X0Y58,IO_L4P_T0U_N6_DBC_AD7P_40,107.729,108.812,,,,,,,,,,,,,,,,,,,,
40,BD33,IOB_X0Y61,IO_L5N_T0U_N9_AD14N_40,108.781,109.875,,,,,,,,,,,,,,,,,,,,
40,BC33,IOB_X0Y60,IO_L5P_T0U_N8_AD14P_40,103.437,104.476,,,,,,,,,,,,,,,,,,,,
40,BD31,IOB_X0Y63,IO_L6N_T0U_N11_AD6N_40,95.182,96.138,,,,,,,,,,,,,,,,,,,,
40,BC31,IOB_X0Y62,IO_L6P_T0U_N10_AD6P_40,89.463,90.362,,,,,,,,,,,,,,,,,,,,
40,BB32,IOB_X0Y66,IO_L7N_T1L_N1_QBC_AD13N_40,91.597,92.517,,,,,,,,,,,,,,,,,,,,
40,BB31,IOB_X0Y65,IO_L7P_T1L_N0_QBC_AD13P_40,91.060,91.975,,,,,,,,,,,,,,,,,,,,
40,BB33,IOB_X0Y68,IO_L8N_T1L_N3_AD5N_40,95.016,95.971,,,,,,,,,,,,,,,,,,,,
